"filename", "language", "Lua", "PowerShell", "C++", "comment", "blank", "total"
"c:\Users\Silve\Develop\CSOL-24H\source\Controller.ps1", "PowerShell", 0, 10, 0, 0, 0, 10
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\CSOL24H.cpp", "C++", 0, 0, 401, 27, 18, 446
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\CSOL24H_EXCEPT.cpp", "C++", 0, 0, 18, 0, 3, 21
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\CombineParts.cpp", "C++", 0, 0, 19, 0, 1, 20
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\Command.cpp", "C++", 0, 0, 36, 0, 2, 38
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\Console.cpp", "C++", 0, 0, 53, 0, 5, 58
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\DateTime.cpp", "C++", 0, 0, 129, 29, 5, 163
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\GameProcess.cpp", "C++", 0, 0, 170, 11, 2, 183
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\GameState.cpp", "C++", 0, 0, 244, 16, 5, 265
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\HotKey.cpp", "C++", 0, 0, 89, 59, 4, 152
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\LLKH.cpp", "C++", 0, 0, 36, 0, 2, 38
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\LocateCursor.cpp", "C++", 0, 0, 19, 0, 1, 20
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\PurchaseItem.cpp", "C++", 0, 0, 20, 0, 1, 21
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\Util.cpp", "C++", 0, 0, 49, 0, 3, 52
"c:\Users\Silve\Develop\CSOL-24H\source\Controller\main.cpp", "C++", 0, 0, 33, 1, 1, 35
"c:\Users\Silve\Develop\CSOL-24H\source\include\CSOL24H.hpp", "C++", 0, 0, 99, 10, 2, 111
"c:\Users\Silve\Develop\CSOL-24H\source\include\CSOL24H_EXCEPT.hpp", "C++", 0, 0, 43, 0, 5, 48
"c:\Users\Silve\Develop\CSOL-24H\source\include\Console.hpp", "C++", 0, 0, 16, 0, 2, 18
"c:\Users\Silve\Develop\CSOL-24H\source\include\GameState.hpp", "C++", 0, 0, 54, 6, 3, 63
"c:\Users\Silve\Develop\CSOL-24H\source\include\Util.hpp", "C++", 0, 0, 6, 0, 1, 7
"c:\Users\Silve\Develop\CSOL-24H\source\include\command.hpp", "C++", 0, 0, 14, 0, 1, 15
"c:\Users\Silve\Develop\CSOL-24H\source\install.ps1", "PowerShell", 0, 6, 0, 1, 1, 8
"c:\Users\Silve\Develop\CSOL-24H\source\lua\$~cmd.lua", "Lua", 2, 0, 0, 0, 1, 3
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Command.lua", "Lua", 16, 0, 0, 0, 0, 16
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Console.lua", "Lua", 20, 0, 0, 17, 6, 43
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Context.lua", "Lua", 17, 0, 0, 6, 3, 26
"c:\Users\Silve\Develop\CSOL-24H\source\lua\DateTime.lua", "Lua", 62, 0, 0, 15, 4, 81
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Delay.lua", "Lua", 14, 0, 0, 0, 0, 14
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Executor.lua", "Lua", 121, 0, 0, 16, 9, 146
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Global.lua", "Lua", 19, 0, 0, 1, 1, 21
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Interpreter.lua", "Lua", 53, 0, 0, 1, 3, 57
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Keyboard.lua", "Lua", 130, 0, 0, 34, 11, 175
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Mouse.lua", "Lua", 143, 0, 0, 61, 16, 220
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Player.lua", "Lua", 121, 0, 0, 28, 13, 162
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Runtime.lua", "Lua", 91, 0, 0, 31, 11, 133
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Setting.lua", "Lua", 54, 0, 0, 34, 1, 89
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Utility.lua", "Lua", 32, 0, 0, 10, 4, 46
"c:\Users\Silve\Develop\CSOL-24H\source\lua\Weapon.lua", "Lua", 59, 0, 0, 40, 21, 120
"c:\Users\Silve\Develop\CSOL-24H\source\lua\WeaponList.lua", "Lua", 157, 0, 0, 16, 10, 183
"c:\Users\Silve\Develop\CSOL-24H\source\lua\main.lua", "Lua", 9, 0, 0, 3, 0, 12
"Total", "-", 1120, 16, 1548, 473, 182, 3339